Station_name,Bikes,Arts & Entertainment,"Bars, Restaurants & Cafes","Landmarks, Parks & Sports",Municipal,Retail,Schools,Total POIs
Kitsilano Beach Park,39,1.0,19.0,7.0,0.0,3.0,0.0,30.0
Lakewood & Oxford,18,2.0,10.0,4.0,0.0,10.0,0.0,26.0
Lakewood & Triumph,16,3.0,11.0,3.0,0.0,7.0,0.0,24.0
Marinaside & Cooperage,26,1.0,21.0,24.0,0.0,8.0,0.0,54.0
Marinaside & Davie,22,7.0,59.0,44.0,2.0,28.0,1.0,141.0
McLean & Pender,16,14.0,46.0,4.0,2.0,25.0,0.0,91.0
Melville & Bute,14,8.0,88.0,48.0,4.0,79.0,8.0,235.0
Morton & Denman,26,10.0,55.0,12.0,1.0,20.0,0.0,98.0
Napier & Commercial,14,15.0,69.0,15.0,1.0,39.0,3.0,142.0
Nelson & Denman,18,13.0,89.0,30.0,4.0,40.0,3.0,179.0
Nelson & Mainland,20,33.0,117.0,55.0,1.0,87.0,4.0,297.0
Nelson & Richards,18,69.0,141.0,63.0,2.0,118.0,2.0,395.0
Nicola & Robson,18,10.0,82.0,27.0,1.0,40.0,0.0,160.0
Olympic Village Station,26,3.0,22.0,25.0,2.0,24.0,0.0,76.0
Ontario & 16th,14,1.0,6.0,6.0,2.0,6.0,0.0,21.0
Ontario & 23rd,12,5.0,26.0,6.0,2.0,34.0,1.0,74.0
Ontario & 5th,20,14.0,23.0,8.0,0.0,36.0,0.0,81.0
Ontario & Seawall,20,16.0,35.0,22.0,2.0,19.0,0.0,94.0
Pacific & Richards,14,8.0,49.0,44.0,0.0,33.0,0.0,134.0
Pender & Burrard,26,16.0,81.0,37.0,0.0,43.0,5.0,182.0
Pender & Commercial,16,3.0,11.0,2.0,0.0,9.0,0.0,25.0
Pender & Gore,14,43.0,95.0,13.0,2.0,102.0,2.0,257.0
Pender & Victoria,16,1.0,13.0,0.0,0.0,8.0,0.0,22.0
Pine & 10th,20,3.0,31.0,12.0,2.0,23.0,1.0,72.0
Pine & 14th,12,1.0,1.0,10.0,0.0,1.0,0.0,13.0
Point Grey & Bayswater,16,0.0,3.0,5.0,0.0,3.0,0.0,11.0
Point Grey & Blenheim,14,0.0,0.0,3.0,0.0,2.0,0.0,5.0
Prince Edward & 14th,14,8.0,6.0,10.0,5.0,5.0,2.0,36.0
Prince Edward & 16th,14,3.0,1.0,9.0,5.0,8.0,1.0,27.0
Princess & Union,12,3.0,3.0,3.0,3.0,6.0,0.0,18.0
Quebec & 1st,20,11.0,36.0,22.0,1.0,38.0,0.0,108.0
Richards & Cordova,24,39.0,91.0,40.0,0.0,102.0,7.0,279.0
